"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Total","04-22 Neoplasms (C00-D48)","2019",13267
"Total","04-22 Neoplasms (C00-D48)","2020",13411
"Total","04-21 Malignant neoplasms (C00-C97)","1971",8014
"Total","04-21 Malignant neoplasms (C00-C97)","1972",7921
"Total","04-21 Malignant neoplasms (C00-C97)","1973",8010
"Total","04-21 Malignant neoplasms (C00-C97)","1974",8199
"Total","04-21 Malignant neoplasms (C00-C97)","1975",8152
"Total","04-21 Malignant neoplasms (C00-C97)","1976",8508
"Total","04-21 Malignant neoplasms (C00-C97)","1977",8489
"Total","04-21 Malignant neoplasms (C00-C97)","1978",8750
"Total","04-21 Malignant neoplasms (C00-C97)","1979",8938
"Total","04-21 Malignant neoplasms (C00-C97)","1980",8948
"Total","04-21 Malignant neoplasms (C00-C97)","1981",9063
"Total","04-21 Malignant neoplasms (C00-C97)","1982",9027
"Total","04-21 Malignant neoplasms (C00-C97)","1983",9397
"Total","04-21 Malignant neoplasms (C00-C97)","1984",9483
"Total","04-21 Malignant neoplasms (C00-C97)","1985",9504
"Total","04-21 Malignant neoplasms (C00-C97)","1986",9493
"Total","04-21 Malignant neoplasms (C00-C97)","1987",9554
"Total","04-21 Malignant neoplasms (C00-C97)","1988",9638
"Total","04-21 Malignant neoplasms (C00-C97)","1989",9765
"Total","04-21 Malignant neoplasms (C00-C97)","1990",9817
"Total","04-21 Malignant neoplasms (C00-C97)","1991",9642
"Total","04-21 Malignant neoplasms (C00-C97)","1992",9999
"Total","04-21 Malignant neoplasms (C00-C97)","1993",10086
"Total","04-21 Malignant neoplasms (C00-C97)","1994",9791
"Total","04-21 Malignant neoplasms (C00-C97)","1995",10058
"Total","04-21 Malignant neoplasms (C00-C97)","1996",10062
"Total","04-21 Malignant neoplasms (C00-C97)","1997",10155
"Total","04-21 Malignant neoplasms (C00-C97)","1998",10250
"Total","04-21 Malignant neoplasms (C00-C97)","1999",10188
"Total","04-21 Malignant neoplasms (C00-C97)","2000",10234
"Total","04-21 Malignant neoplasms (C00-C97)","2001",10326
"Total","04-21 Malignant neoplasms (C00-C97)","2002",10221
"Total","04-21 Malignant neoplasms (C00-C97)","2003",10426
"Total","04-21 Malignant neoplasms (C00-C97)","2004",10497
"Total","04-21 Malignant neoplasms (C00-C97)","2005",10593
"Total","04-21 Malignant neoplasms (C00-C97)","2006",10777
"Total","04-21 Malignant neoplasms (C00-C97)","2007",10848
"Total","04-21 Malignant neoplasms (C00-C97)","2008",10961
"Total","04-21 Malignant neoplasms (C00-C97)","2009",10996
"Total","04-21 Malignant neoplasms (C00-C97)","2010",11579
"Total","04-21 Malignant neoplasms (C00-C97)","2011",11580
"Total","04-21 Malignant neoplasms (C00-C97)","2012",11710
"Total","04-21 Malignant neoplasms (C00-C97)","2013",11896
"Total","04-21 Malignant neoplasms (C00-C97)","2014",11915
"Total","04-21 Malignant neoplasms (C00-C97)","2015",12168
"Total","04-21 Malignant neoplasms (C00-C97)","2016",12494
"Total","04-21 Malignant neoplasms (C00-C97)","2017",12573
"Total","04-21 Malignant neoplasms (C00-C97)","2018",12558
"Total","04-21 Malignant neoplasms (C00-C97)","2019",12899
"Total","04-21 Malignant neoplasms (C00-C97)","2020",12998
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1971",98
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1972",95
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1973",75
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1974",97
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1975",105
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1976",88
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1977",127
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1978",114
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1979",116
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1980",123
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1981",116
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1982",130
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1983",107
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1984",106
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1985",112
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1986",110
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1987",102
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1988",122
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1989",125
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1990",105
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1991",126
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1992",121
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1993",135
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1994",129
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1995",142
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1996",150
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1997",140
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1998",124
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","1999",149
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2000",149
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2001",153
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2002",135
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2003",166
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2004",146
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2005",140
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2006",145
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2007",152
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2008",166
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2009",178
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2010",192
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2011",190
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2012",196
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2013",204
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2014",217
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2015",232
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2016",212
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2017",183
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2018",198
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2019",219
"Total","04 Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","2020",225
"Total","05 Malignant neoplasm of oesophagus (C15)","1971",240
"Total","05 Malignant neoplasm of oesophagus (C15)","1972",217
"Total","05 Malignant neoplasm of oesophagus (C15)","1973",211
"Total","05 Malignant neoplasm of oesophagus (C15)","1974",179
"Total","05 Malignant neoplasm of oesophagus (C15)","1975",226
"Total","05 Malignant neoplasm of oesophagus (C15)","1976",207
"Total","05 Malignant neoplasm of oesophagus (C15)","1977",186
"Total","05 Malignant neoplasm of oesophagus (C15)","1978",202
"Total","05 Malignant neoplasm of oesophagus (C15)","1979",187
"Total","05 Malignant neoplasm of oesophagus (C15)","1980",208
"Total","05 Malignant neoplasm of oesophagus (C15)","1981",228
"Total","05 Malignant neoplasm of oesophagus (C15)","1982",213
"Total","05 Malignant neoplasm of oesophagus (C15)","1983",197
"Total","05 Malignant neoplasm of oesophagus (C15)","1984",176
"Total","05 Malignant neoplasm of oesophagus (C15)","1985",217
"Total","05 Malignant neoplasm of oesophagus (C15)","1986",204
"Total","05 Malignant neoplasm of oesophagus (C15)","1987",187
"Total","05 Malignant neoplasm of oesophagus (C15)","1988",201
"Total","05 Malignant neoplasm of oesophagus (C15)","1989",196
"Total","05 Malignant neoplasm of oesophagus (C15)","1990",175
"Total","05 Malignant neoplasm of oesophagus (C15)","1991",192
"Total","05 Malignant neoplasm of oesophagus (C15)","1992",184
"Total","05 Malignant neoplasm of oesophagus (C15)","1993",196
"Total","05 Malignant neoplasm of oesophagus (C15)","1994",163
"Total","05 Malignant neoplasm of oesophagus (C15)","1995",216
"Total","05 Malignant neoplasm of oesophagus (C15)","1996",187
"Total","05 Malignant neoplasm of oesophagus (C15)","1997",193
"Total","05 Malignant neoplasm of oesophagus (C15)","1998",174
"Total","05 Malignant neoplasm of oesophagus (C15)","1999",206
"Total","05 Malignant neoplasm of oesophagus (C15)","2000",176
"Total","05 Malignant neoplasm of oesophagus (C15)","2001",202
"Total","05 Malignant neoplasm of oesophagus (C15)","2002",191
"Total","05 Malignant neoplasm of oesophagus (C15)","2003",184
"Total","05 Malignant neoplasm of oesophagus (C15)","2004",188
"Total","05 Malignant neoplasm of oesophagus (C15)","2005",216
"Total","05 Malignant neoplasm of oesophagus (C15)","2006",191
"Total","05 Malignant neoplasm of oesophagus (C15)","2007",247
"Total","05 Malignant neoplasm of oesophagus (C15)","2008",184
"Total","05 Malignant neoplasm of oesophagus (C15)","2009",233
"Total","05 Malignant neoplasm of oesophagus (C15)","2010",254
"Total","05 Malignant neoplasm of oesophagus (C15)","2011",242
"Total","05 Malignant neoplasm of oesophagus (C15)","2012",266
"Total","05 Malignant neoplasm of oesophagus (C15)","2013",253
"Total","05 Malignant neoplasm of oesophagus (C15)","2014",274
"Total","05 Malignant neoplasm of oesophagus (C15)","2015",233
"Total","05 Malignant neoplasm of oesophagus (C15)","2016",290
"Total","05 Malignant neoplasm of oesophagus (C15)","2017",296
"Total","05 Malignant neoplasm of oesophagus (C15)","2018",317
"Total","05 Malignant neoplasm of oesophagus (C15)","2019",315
"Total","05 Malignant neoplasm of oesophagus (C15)","2020",356
"Total","06 Malignant neoplasm of stomach (C16)","1971",1235
"Total","06 Malignant neoplasm of stomach (C16)","1972",1173
"Total","06 Malignant neoplasm of stomach (C16)","1973",1213
"Total","06 Malignant neoplasm of stomach (C16)","1974",1124
"Total","06 Malignant neoplasm of stomach (C16)","1975",1128
"Total","06 Malignant neoplasm of stomach (C16)","1976",1092
"Total","06 Malignant neoplasm of stomach (C16)","1977",1064
"Total","06 Malignant neoplasm of stomach (C16)","1978",1089
"Total","06 Malignant neoplasm of stomach (C16)","1979",1073
"Total","06 Malignant neoplasm of stomach (C16)","1980",1012
"Total","06 Malignant neoplasm of stomach (C16)","1981",1050
"Total","06 Malignant neoplasm of stomach (C16)","1982",1005
"Total","06 Malignant neoplasm of stomach (C16)","1983",970
"Total","06 Malignant neoplasm of stomach (C16)","1984",980
"Total","06 Malignant neoplasm of stomach (C16)","1985",986
"Total","06 Malignant neoplasm of stomach (C16)","1986",942
"Total","06 Malignant neoplasm of stomach (C16)","1987",920
"Total","06 Malignant neoplasm of stomach (C16)","1988",876
"Total","06 Malignant neoplasm of stomach (C16)","1989",884
"Total","06 Malignant neoplasm of stomach (C16)","1990",794
"Total","06 Malignant neoplasm of stomach (C16)","1991",771
"Total","06 Malignant neoplasm of stomach (C16)","1992",713
"Total","06 Malignant neoplasm of stomach (C16)","1993",733
"Total","06 Malignant neoplasm of stomach (C16)","1994",696
"Total","06 Malignant neoplasm of stomach (C16)","1995",666
"Total","06 Malignant neoplasm of stomach (C16)","1996",666
"Total","06 Malignant neoplasm of stomach (C16)","1997",660
"Total","06 Malignant neoplasm of stomach (C16)","1998",592
"Total","06 Malignant neoplasm of stomach (C16)","1999",561
"Total","06 Malignant neoplasm of stomach (C16)","2000",562
"Total","06 Malignant neoplasm of stomach (C16)","2001",566
"Total","06 Malignant neoplasm of stomach (C16)","2002",568
"Total","06 Malignant neoplasm of stomach (C16)","2003",554
"Total","06 Malignant neoplasm of stomach (C16)","2004",573
"Total","06 Malignant neoplasm of stomach (C16)","2005",541
"Total","06 Malignant neoplasm of stomach (C16)","2006",526
"Total","06 Malignant neoplasm of stomach (C16)","2007",475
"Total","06 Malignant neoplasm of stomach (C16)","2008",525
"Total","06 Malignant neoplasm of stomach (C16)","2009",487
"Total","06 Malignant neoplasm of stomach (C16)","2010",489
"Total","06 Malignant neoplasm of stomach (C16)","2011",484
"Total","06 Malignant neoplasm of stomach (C16)","2012",445
"Total","06 Malignant neoplasm of stomach (C16)","2013",479
"Total","06 Malignant neoplasm of stomach (C16)","2014",413
"Total","06 Malignant neoplasm of stomach (C16)","2015",441
"Total","06 Malignant neoplasm of stomach (C16)","2016",434
"Total","06 Malignant neoplasm of stomach (C16)","2017",440
"Total","06 Malignant neoplasm of stomach (C16)","2018",377
"Total","06 Malignant neoplasm of stomach (C16)","2019",416
"Total","06 Malignant neoplasm of stomach (C16)","2020",412
"Total","07 Malignant neoplasm of colon (C18, C19)","1971",347
"Total","07 Malignant neoplasm of colon (C18, C19)","1972",379
"Total","07 Malignant neoplasm of colon (C18, C19)","1973",381
"Total","07 Malignant neoplasm of colon (C18, C19)","1974",371
"Total","07 Malignant neoplasm of colon (C18, C19)","1975",355
"Total","07 Malignant neoplasm of colon (C18, C19)","1976",427
"Total","07 Malignant neoplasm of colon (C18, C19)","1977",438
"Total","07 Malignant neoplasm of colon (C18, C19)","1978",453
"Total","07 Malignant neoplasm of colon (C18, C19)","1979",448
"Total","07 Malignant neoplasm of colon (C18, C19)","1980",443
"Total","07 Malignant neoplasm of colon (C18, C19)","1981",474
"Total","07 Malignant neoplasm of colon (C18, C19)","1982",490
"Total","07 Malignant neoplasm of colon (C18, C19)","1983",521
"Total","07 Malignant neoplasm of colon (C18, C19)","1984",534
"Total","07 Malignant neoplasm of colon (C18, C19)","1985",523
"Total","07 Malignant neoplasm of colon (C18, C19)","1986",536
"Total","07 Malignant neoplasm of colon (C18, C19)","1987",553
"Total","07 Malignant neoplasm of colon (C18, C19)","1988",561
"Total","07 Malignant neoplasm of colon (C18, C19)","1989",594
"Total","07 Malignant neoplasm of colon (C18, C19)","1990",589
"Total","07 Malignant neoplasm of colon (C18, C19)","1991",626
"Total","07 Malignant neoplasm of colon (C18, C19)","1992",589
"Total","07 Malignant neoplasm of colon (C18, C19)","1993",587
"Total","07 Malignant neoplasm of colon (C18, C19)","1994",633
"Total","07 Malignant neoplasm of colon (C18, C19)","1995",645
"Total","07 Malignant neoplasm of colon (C18, C19)","1996",625
"Total","07 Malignant neoplasm of colon (C18, C19)","1997",649
"Total","07 Malignant neoplasm of colon (C18, C19)","1998",649
"Total","07 Malignant neoplasm of colon (C18, C19)","1999",632
"Total","07 Malignant neoplasm of colon (C18, C19)","2000",690
"Total","07 Malignant neoplasm of colon (C18, C19)","2001",652
"Total","07 Malignant neoplasm of colon (C18, C19)","2002",626
"Total","07 Malignant neoplasm of colon (C18, C19)","2003",695
"Total","07 Malignant neoplasm of colon (C18, C19)","2004",625
"Total","07 Malignant neoplasm of colon (C18, C19)","2005",688
"Total","07 Malignant neoplasm of colon (C18, C19)","2006",691
"Total","07 Malignant neoplasm of colon (C18, C19)","2007",724
"Total","07 Malignant neoplasm of colon (C18, C19)","2008",736
"Total","07 Malignant neoplasm of colon (C18, C19)","2009",749
"Total","07 Malignant neoplasm of colon (C18, C19)","2010",759
"Total","07 Malignant neoplasm of colon (C18, C19)","2011",772
"Total","07 Malignant neoplasm of colon (C18, C19)","2012",794
"Total","07 Malignant neoplasm of colon (C18, C19)","2013",806
"Total","07 Malignant neoplasm of colon (C18, C19)","2014",821
"Total","07 Malignant neoplasm of colon (C18, C19)","2015",821
"Total","07 Malignant neoplasm of colon (C18, C19)","2016",884
"Total","07 Malignant neoplasm of colon (C18, C19)","2017",909
"Total","07 Malignant neoplasm of colon (C18, C19)","2018",869
"Total","07 Malignant neoplasm of colon (C18, C19)","2019",919
"Total","07 Malignant neoplasm of colon (C18, C19)","2020",897
